Site,Bac_q0,Bac_q1,Bac_q2,Bac_obs_mpd,Ampd_null_mean.x,Ampd_null_sd.x,Bac_Ampti,Bac_Ampti_p,HNF_q0,HNF_q1,HNF_q2,HNF_obs_mpd,Ampd_null_mean.y,Ampd_null_sd.y,HNF_Ampti,HNF_Ampti_p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2053St03,217.02,25.931,9.487,0.195018644,0.307900687,0.025514183,-4.424285929,4.84E-06,12,6.562,4.82,0.031504061,0.187995965,0.032443059,-4.823586631,7.05E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2053St05,214.571,43.937,10.098,0.282698166,0.310293048,0.024365444,-1.132541715,0.128703378,12.997,7.068,5.23,0.042988168,0.192747193,0.030492458,-4.911346489,4.52E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2053St07,358.736,118.504,57.092,0.335228556,0.337578658,0.012322514,-0.190716138,0.424373997,8,4.255,3.322,0.037190919,0.167142622,0.03741221,-3.473510432,0.000256849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2053St09,314.13,104.904,48.4,0.335897875,0.336610321,0.013829884,-0.051514948,0.479457596,20.997,10.813,6.946,0.025586427,0.203929543,0.027535357,-6.476876891,4.68E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2053St11,313.095,110.792,54.095,0.349269936,0.337050811,0.012885237,0.948304231,0.171487299,10,5.889,4.117,0.03949067,0.179693089,0.031201752,-4.493414886,3.50E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2099St01,461.079,57.299,19.148,0.283107021,0.325353165,0.01872977,-2.255561342,0.012049058,7,2.32,1.61,0.017330192,0.089905332,0.022861423,-3.174567898,0.000750299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2099St03,309.032,74.169,22.442,0.289345218,0.328113687,0.017820009,-2.175558329,0.014794151,7,3.183,2.559,0.143400496,0.145335665,0.040620692,-0.047639978,0.481001585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2099St05,399.139,85.624,29.912,0.307544594,0.331948192,0.015865292,-1.538175151,0.062002898,10,5.983,4.447,0.099526856,0.18499768,0.031890964,-2.680095355,0.00368006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2099St07,458.367,149.164,68.938,0.324628889,0.338234251,0.01128559,-1.20555168,0.1139952,18.665,10.044,6.936,0.080219376,0.20452881,0.027498942,-4.520516997,3.08E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2099St09,320.499,88.629,40.806,0.309516869,0.334586453,0.014383788,-1.742905533,0.040675059,33.973,14.964,11.371,0.076939123,0.216539202,0.024086407,-5.795803297,3.40E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
