,Or2Cr2014St01,Or2Cr2014St03,Or2Cr2014St05,Or2Cr2014St07,Or2Cr2014St09,Or2Cr2014St11,Or2Cr2023St03,Or2Cr2023St05,Or2Cr2023St07,Or2Cr2023St09,Or2Cr2023St11,Or2Cr2039St01,Or2Cr2039St03,Or2Cr2039St05,Or2Cr2039St07,Or2Cr2039St09,Or2Cr2039St11,Or2Cr2046St01,Or2Cr2046St03,Or2Cr2046St05,Or2Cr2046St07,Or2Cr2046St09,Or2Cr2046St11,Or2Cr2053St01,Or2Cr2053St03,Or2Cr2053St05,Or2Cr2053St07,Or2Cr2053St09,Or2Cr2053St11,Or2Cr2099St01,Or2Cr2099St03,Or2Cr2099St05,Or2Cr2099St07,Or2Cr2099St09,Or2Cr2099St11,Or2Cr2109St01,Or2Cr2109St03,Or2Cr2109St05,Or2Cr2109St07,Or2Cr2109St09,Or2Cr2109St11,Or2Cr2164St01,Or2Cr2164St03,Or2Cr2164St05,Or2Cr2164St07,Or2Cr2164St09,Or2Cr2164St11,Or2Cr2183St01,Or2Cr2183St03,Or2Cr2183St05,Or2Cr2183St07,Or2Cr2183St09,Or2Cr2183St11,Or2Cr2192St01,Or2Cr2192St03,Or2Cr2192St05,Or2Cr2192St07,Or2Cr2192St09,Or2Cr2192St11,Or2Cr2241St01,Or2Cr2241St03,Or2Cr2241St05,Or2Cr2241St07,Or2Cr2241St09,Or2Cr2241St11,Or2Cr2243St01,Or2Cr2243St03,Or2Cr2243St05,Or2Cr2243St07,Or2Cr2243St09,Or2Cr2243St11,Or2Cr2245St01,Or2Cr2245St03,Or2Cr2245St05,Or2Cr2245St07,Or2Cr2245St09,Or2Cr2245St11,Or2Cr2248St01,Or2Cr2248St03,Or2Cr2248St05,Or2Cr2248St07,Or2Cr2248St09,Or2Cr2248St11
276,0,33,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,110,0,0,0,625,0,146,0,0,0,56,0,0,0,0,43,31,0,0,0,0,0,50,57,0,0,0,0,36,0,0,0,0,63,0,0,0,109,172,650,95,91
278,0,0,0,0,0,144,0,0,0,0,0,0,0,21,0,220,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,216,17,0,0,0,0,0,0,0,0,0,73,372,0,0,0,0,0,0,0,0,0,0,0,0,7,16,23,119,0,98,251,0,0,0,0,0,0,9,8,14,25,0,95,0,0,7,430,0,152
284,0,0,0,0,0,365,0,30,22,10,114,0,0,0,42,61,0,0,7,0,25,14,91,10,0,0,0,52,0,0,0,94,77,162,41,0,0,0,60,0,0,24,0,0,0,0,0,50,30,73,95,0,0,0,0,0,0,0,0,0,19,296,98,43,0,0,0,45,74,76,16,0,40,0,0,0,0,0,0,0,0,0,105
290,0,0,0,0,1791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,0,7,0,0,0,19,0,8,0,0,38,9,19,36,61,46,19,0,0,0,0,83,56,0,0,0,16,18,15,0,0,44,37,42,161,0,0,58,0,25,89,0,0,108,25,6,18,0,0,10,233,54,424,0,0,0,19,118,62,26,9,82,15,15,27,0,0,17,12,0,15,0,0,0,0,17,7,0,0,0,17,0,52
303,0,800,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,554,0,0,228,179,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,39,0,0,0,0,0,24,46,13,0,0,0,0,0,0,0,14,20,101,25,25,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,245,42,196,0,0,48,24,163,64,57,131,39,46,120,54,39,26,16,13,0,0,165,28,189
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,127,0,0,0,0,27,0,196,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,11,0,0,92,0,0,8,0,0,11,150,28,13,62,0,0,66,37,0,0,0,0,237,0,0,0,0,10,0,0,29,0,0,0,0,0,0,0,0,0,287,68,469
324,31,0,30,22,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,0,10,0,0,0,0,0,45,0,0,144,87,0,26,0,0,17,22,0,32,40,17,0,68,35,0,45,44,43,0,200,83,31,23,0,17,0,0,67,32,101,22,0,11,282,58,253,0,0
328,0,0,190,666,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,96,130,0,0,0,0,0,0,80,90,219,0,0,0,94,0,0,0,0
332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,837,0,0,0,0,0,0,0,53,0,0,0,0,31,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,96,108,0,58,0,0,0,0,0,0,54,38,16,67,18,0,0,44,14,0,74,0,0,48,0,39,0,0,63,116,126,0,0,0,463,156,182,51,0
346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,0,24,0,28,21,0,158,0,8,87,250,0,0,0,12,11,0,0,0,0,0,0,0,0,0,22,0,94,0,37,0,22,0,0,0,0,0,0,0,49,56,0,0,10,0,0,78,27,0,71,0,0,0,0,0,0,40,0,0,0,73,140,416,37,0
351,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1244,0,0,25,0,94,0,0,0,0,0,0,0,0,94,0,0
360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,215,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,158,13,0,24,0,28,0,0,0,0,0,23,32,0,140,0,0,412,84,217,0,140
361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,493,0,131,100,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0
379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,391,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393
381,0,0,29,0,0,0,0,21,0,2,12,0,0,0,0,6,16,0,0,0,0,0,10,0,0,0,0,7,8,0,0,0,16,32,21,0,0,0,21,0,0,0,0,0,47,31,0,32,0,0,0,0,0,0,0,0,0,18,12,9,84,192,63,49,95,0,45,135,0,29,15,3,75,251,58,0,0,0,97,0,0,0,48
388,0,0,25,0,0,95,0,0,0,0,21,0,0,27,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,12,190,0,0,189,96,0,0,0,0,0,89,0,389,0,0,0,0,65,25,0,0,94,22,9,77,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,57
389,0,0,0,14,15,0,0,30,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,25,39,0,0,0,18,53,30,0,0,0,0,0,0,0,0,0,0,34,0,16,14,0,0,33,0,28,26,0,27,42,24,0,0,33,0,25,88,0,0,37,0,0,0,0,0,0,38,0,8,0,87,50,617,61,0
396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,15,8,0,0,0,0,15,0,0,0,0,0,12,0,0,0,0,58,73,0,0,0,0,0,44,0,0,15,0,23,51,13,0,0,0,0,0,51,0,0,43,0,35,0,0,0,41,72,0,0,0,44,217,551,60,0
405,0,0,25,33,33,0,0,0,0,0,0,12,30,0,0,50,1,57,0,0,41,0,0,43,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,75,0,0,0,0,0,0,0,0,0,0,45,0,40,0,0,0,39,0,0,0,142,467,117,0,34,0,0,18,0,10,23,0,0,39,0,0,0,0,3,0,2
408,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,0,0,0,21,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,1064,111,0,0,0,0,0,0,0,12,0,0,0,0,0
415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,87,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,63,152,0,0,102,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,147,0,344
417,0,14,18,0,62,58,0,43,25,0,55,0,0,34,32,13,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,13,63,0,0,0,0,0,0,24,0,0,14,91,0,3,0,0,29,0,0,9,0,18,0,0,0,0,25,0,167,67,18,170,0,40,0,0,57,23,0,0,28,27,36,13,0,29,0,0,0,21
423,0,0,0,0,0,0,0,0,0,0,0,25,0,30,114,0,0,0,18,0,85,0,0,218,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,58,113,0,0,0,63,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,0,0,0,0,0,0,0,0,0,0,0,0,0,40,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,116,24,28,0,46,0,0,0,31,0,0,34,70,0,143,34,17,0,0,112,0,0,0,17,0,0,21,0,43,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,327,0,0
433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,0,319,0,0,0,0,0,0,0,0,0,0,0,0
435,0,0,62,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,155,0,47,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,781,178,0,0
458,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,99,0,94,0,58,19,91,0,0,0,11,72,64,88,0,0,21,19,0,61,0,0,45,0,0,0,0,21,43,0,0,0,0,90,89,107,0,81
459,0,0,359,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,37,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,103,0,0,0,0,0,0,36,0,0,0,0,0,18,463,0,57,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,45,56,0,0
464,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,23,0,0,97,0,55,80,25,272,0,52,0,0,200,84,0,14,19,8,29,19,0,31,0,0,0,0
465,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,35,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,0,0,92,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,104,0,0,42,0,314,0,0,170,0,114,0,0,62,0,0,0,42,111,0,0,0
470,0,0,25,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,53,53,0,0,0,0,0,0,0,0,234,295,0,0,0,0,0,0,0,0,33
477,0,0,0,0,0,0,0,29,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,70,41,90,95,0,0,48,15,62,109,0,40,54,36,0,14,0,79,0,50,0,71
480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,96,0,36,36,50,0,0,0,0,38,51,31,0,21,40,0,0,50,32,0,0,0,0,0,0,65,46,0,0,0,0,220,87,97,0,20
486,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,137,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,38,0,0,61,0,0,0,0,34,30,65,0,0,0,0,285,301,106,0
487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,51,294,0,0,104,0,0,0,0,118,0,0,0,66,0,0,0,0,0,43,115,86,107
498,0,0,81,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,179,111,0,75,0,0,0,0,40,195,0,0,0,0,122,0,0,0,0
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,101,0,0,0,0,0,0,0,738,0,0,0,0,0,0,0,0,25,0,0,0,0
501,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,91,0,30,0,27,11,16,19,0,0,0,0,109,0,0,12,27,14,0,0,0,0,23,0,27,0,0,0,42,65,0,0,0,53,110,212,37,26
502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646,0,0,0,0,391,0,43,0,0,0,0,0,0,0,0
507,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,9,33,51,124,0,141,0,0,3,15,0,18,0,0,0,9,0,0,11,0,0,0,130,34,11,0,0,9,5,0,20,24,40,0,0,0,192,19,56,0,0
513,14,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,75,0,0,0,53,21,0,0,0,0,18,125,260,0,0,0,0,54,253,0,36,24
516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,67,0,71,111,0,0,0,71,59,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,181,378,265,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,21,0,0,0,21,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,30,46,0,0,0,0,171,166,348,105,0
541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,8,0,33,0,0,0,0,161,0,0,0,0,0,0,0,0,0,110,70,0,371
545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0
546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,35,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,86,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,0,0,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,54,0,0,0,0,0,15,11,35,44,0,0,41,0,0,16,43,6,0,30,0,0,64,0,50,0,0,8,91,27,13,0,0,37,44,192,0,23
561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,721,0,0,0,0
563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,0,0,0,0,0,0,0,0,0,0,0,0,0
564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,10,0,0,0,0,0,0,0,0,460,42,144,0,21,48,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569,0,395,99,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,142,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309
572,0,0,0,0,0,0,0,0,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,11,28,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,2,0,0,0,0,6,15,0,26,40,30,20,0,412,19,36,96,34,40
576,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,45,0,0,0,0,0,0,0,138
578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,106,0,13,0,45,10,58,0,0,0,35,0,47,59,0,0,18,37,0,50,29,0,53,0,0,0,0,28,38,21,0,14,0,69,13,80,0,15
582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,52,0,0,40,36,0,0,0,0,0,67,0,0,0,0,54,0,0,0,52,47,86,70,46,189,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0
586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,357,0,0,0,0,0,0,0,0
591,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,61,0,0,111,0,0,12,0,40,0,0,0,0,56,0,23,0,89,0,0,46,351
593,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,105,0,0,0,17,0,0,0,0,0,24,24,5,0,0,0,34,0,0,21,53,0,35,0,64,0,0,11,0,31,0,0,0,65,0,168,41,13
595,0,0,48,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,9,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,138,72,16,91,19,0,55,0,0,0,0,122,163,0,0,5,0,3,0,0,0,0
604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,51,0,0,0,0,0,0,0,0,0,32,0,0,0,31,0,0,41,0,0,36,0,26,0,0,49,124,112,0,0,0,38,154,107,0,0
612,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,74,0,0,0,6,0,0,0,0,12,0,0,13,39,19,0,14,45,0,0,68,36,12,25,0,0,0,0,0,31,37,0,20,0,121,0,172,31,0
613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,58,0,23,0,0,0,19,0,0,0,0,0,0,0,0,22,53,0,0,41,0,0,0,0,0,0,0,18,97,21,0,0,0,0,341,79,0,33
621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,100,0,25,92,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,99,0,0,0,0,97,92,0,0,0,0,0,0,0,76,0
627,193,396,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,17,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,32,55,0,100,61,95,63,0,0,0,0,0,0,27,17,17,0,82,0,0,0,0
648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,33,24,0,42,16,0,30,0,81,28,0,0,91,22,0,0,0,0,81,141,38,0
649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
652,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,29,91,40,0,0,0,0,0,0,0,0,0,0,0,13,73,0,0,0,31,0,145,0,42,55,0,28,17,0,0,0,20,13,20,0,49,0,0,0,0
