,Or2Cr2014St01,Or2Cr2014St03,Or2Cr2014St05,Or2Cr2014St07,Or2Cr2014St09,Or2Cr2014St11,Or2Cr2023St03,Or2Cr2023St05,Or2Cr2023St07,Or2Cr2023St09,Or2Cr2023St11,Or2Cr2039St01,Or2Cr2039St03,Or2Cr2039St05,Or2Cr2039St07,Or2Cr2039St09,Or2Cr2039St11,Or2Cr2046St01,Or2Cr2046St03,Or2Cr2046St05,Or2Cr2046St07,Or2Cr2046St09,Or2Cr2046St11,Or2Cr2053St01,Or2Cr2053St03,Or2Cr2053St05,Or2Cr2053St07,Or2Cr2053St09,Or2Cr2053St11,Or2Cr2099St01,Or2Cr2099St03,Or2Cr2099St05,Or2Cr2099St07,Or2Cr2099St09,Or2Cr2099St11,Or2Cr2109St01,Or2Cr2109St03,Or2Cr2109St05,Or2Cr2109St07,Or2Cr2109St09,Or2Cr2109St11,Or2Cr2164St01,Or2Cr2164St03,Or2Cr2164St05,Or2Cr2164St07,Or2Cr2164St09,Or2Cr2164St11,Or2Cr2183St01,Or2Cr2183St03,Or2Cr2183St05,Or2Cr2183St07,Or2Cr2183St09,Or2Cr2183St11,Or2Cr2192St01,Or2Cr2192St03,Or2Cr2192St05,Or2Cr2192St07,Or2Cr2192St09,Or2Cr2192St11,Or2Cr2241St01,Or2Cr2241St03,Or2Cr2241St05,Or2Cr2241St07,Or2Cr2241St09,Or2Cr2241St11,Or2Cr2243St01,Or2Cr2243St03,Or2Cr2243St05,Or2Cr2243St07,Or2Cr2243St09,Or2Cr2243St11,Or2Cr2245St01,Or2Cr2245St03,Or2Cr2245St05,Or2Cr2245St07,Or2Cr2245St09,Or2Cr2245St11,Or2Cr2248St01,Or2Cr2248St03,Or2Cr2248St05,Or2Cr2248St07,Or2Cr2248St09,Or2Cr2248St11
55,0,0,0,0,145,157,0,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,0,188,176,184,0,0,0,423,445,0,0,0,0,640,3199,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,610,1636,0,0,0,0,5465,0,0,0,0,3078,741,141,0,0,0,0,508,0,0,0,0
59,0,0,0,89,0,698,0,42,48,79,92,0,0,0,0,68,0,0,0,0,0,0,25,0,0,0,0,44,33,0,0,0,0,281,348,0,0,48,0,0,0,266,0,0,0,94,29,0,0,0,0,0,0,0,0,0,0,0,0,289,0,572,2689,882,4600,0,4024,357,198,975,519,161,0,0,0,531,323,806,0,0,0,0,0
60,0,508,143,96,3148,5023,0,43,0,921,568,14,0,0,0,10,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2121,0,0,0,0,0,0,138,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,33,258,0,0,0,162,1552,3125,0,0,0,0,0,0,0,0,0,0,0,68,40,0,0,0,0,0
67,1602,124,644,78,84,323,0,102,114,68,258,120,1845,261,756,229,110,136,229,113,185,136,93,89,164,257,361,0,48,0,136,0,405,187,164,0,0,0,0,0,0,0,0,0,128,0,0,248,205,316,0,79,392,0,0,0,58,0,0,0,99,247,298,95,0,0,0,382,185,1654,163,0,67,68,0,89,0,0,0,69,301,0,0
68,0,0,0,0,0,0,0,0,0,0,0,757,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,12508,43,0,0,0,0
69,620,3382,197,0,0,0,0,69,118,220,0,269,890,109,107,120,55,98,44,91,29,102,163,115,0,0,62,287,0,125,0,506,0,0,248,0,0,36,18,0,269,0,0,87,0,0,0,411,171,313,109,180,1353,0,42,156,145,584,90,139,0,118,122,0,0,256,319,0,0,0,0,274,102,0,0,0,0,421,0,0,0,0,0
74,0,0,44,0,139,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,185,225,863,0,0,0,0,77,0,0,0,0,59,916,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,2052,851,0,351,0,0,256,334,1253,214,0,1078,3067,0,0,0,0,0,0,0,0,0
75,0,0,454,162,0,138,0,252,0,263,29,0,0,0,0,0,99,0,0,0,0,0,0,0,180,76,47,398,113,0,0,1746,306,755,0,0,0,0,0,62,0,0,0,0,0,841,0,409,59,0,0,0,96,0,44,0,0,24,0,0,378,955,96,0,217,118,0,230,0,292,0,0,378,247,43,0,46,0,1935,168,208,65,144
77,0,0,0,0,42,0,0,0,0,0,0,88,0,0,25,20,0,13,140,0,0,50,56,111,45,0,46,46,72,0,0,0,0,0,0,0,0,59,20,0,16,16,0,0,0,0,0,156,0,196,83,19,927,0,115,0,0,26,0,171,0,44,0,0,0,294,235,0,119,46,35,137,0,0,0,0,0,8155,0,28,146,34,62
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,8,0,0,0,27,40,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,41,0,34,0,0,0,0,0,0,0,0,0,1116,22,164,803,0,0,164,0,533,112,0,530,128,28,14,0,0,3579,2170,32,34,695
